Time,CH1,CH2,CH3,CH4,Accelerometer
mSecs,mVolts,mVolts,mVolts,mVolts,m/(sec^2)
78878.90625,-1.556456871,-0.968978123,-2.184371811,4.469449457,-2.791411043
78882.8125,-1.561481344,-0.970252272,-2.183169784,4.471685227,-2.790184049
78886.71875,-1.560159114,-0.970011866,-2.183458271,4.472478565,-2.791411043
78890.625,-1.559918709,-0.966598109,-2.183578473,4.471516944,-2.790184049
78894.53125,-1.561216898,-0.967439528,-2.183891,4.473969079,-2.791411043
78898.4375,-1.560712047,-0.969098326,-2.181390784,4.472045836,-2.790184049
78902.34375,-1.559774466,-0.96929065,-2.183650595,4.476469295,-2.792638037
78906.25,-1.557442533,-0.970853285,-2.188025974,4.476829904,-2.791411043
78910.15625,-1.560014871,-0.969699339,-2.188530825,4.474401809,-2.791411043
78914.0625,-1.559774466,-0.970108029,-2.194276515,4.47579616,-2.791411043
78917.96875,-1.555927979,-0.970997529,-2.191992663,4.480291742,-2.792638037
78921.875,-1.556048181,-0.971887029,-2.191583974,4.479955174,-2.791411043
78925.78125,-1.558716682,-0.973040975,-2.193146609,4.478681025,-2.791411043
78929.6875,-1.559774466,-0.97061288,-2.190790636,4.480508107,-2.792638037
78933.59375,-1.564967223,-0.970252272,-2.189925177,4.48019558,-2.791411043
78937.5,-1.559798506,-0.968930042,-2.189348204,4.479137796,-2.791411043
78941.40625,-1.561481344,-0.972103394,-2.189780933,4.478777188,-2.792638037
78945.3125,-1.560159114,-0.971814907,-2.190237704,4.47223816,-2.791411043
78949.21875,-1.561529425,-0.971189853,-2.188410622,4.47889739,-2.792638037
78953.125,-1.563140142,-0.972944813,-2.188074055,4.477286674,-2.791411043
78957.03125,-1.561697709,-0.970083988,-2.18651142,4.476926066,-2.792638037
78960.9375,-1.559317695,-0.969651258,-2.188939514,4.476998187,-2.792638037
78964.84375,-1.556504952,-0.968280947,-2.190550231,4.475459593,-2.792638037
78968.75,-1.56128902,-0.968617515,-2.189997298,4.47800789,-2.793865031
78972.65625,-1.559894668,-0.968545393,-2.193122569,4.477647282,-2.792638037
78976.5625,-1.561938114,-0.96929065,-2.191031042,4.478512742,-2.792638037
78980.46875,-1.560928412,-0.969843583,-2.18917992,4.477214552,-2.791411043
78984.375,-1.562755493,-0.970540758,-2.188266379,4.480964877,-2.790184049
78988.28125,-1.564294088,-0.969122366,-2.189780933,4.481325485,-2.792638037
78992.1875,-1.564582574,-0.971165813,-2.189300123,4.482094782,-2.791411043
78996.09375,-1.56172175,-0.970636921,-2.187232636,4.48507581,-2.791411043
79000,-1.562731452,-0.968497312,-2.184708379,4.480243661,-2.792638037
79003.90625,-1.557851222,-0.969651258,-2.188891433,4.483152566,-2.791411043
79007.8125,-1.56131306,-0.969795502,-2.185477676,4.486638445,-2.791411043
79011.71875,-1.561000533,-0.968449231,-2.187256676,4.486229756,-2.788957055
79015.625,-1.564798939,-0.970492677,-2.189829015,4.486494202,-2.790184049
79018.55469,-1.565231669,-0.968521353,-2.191103163,4.483128526,-2.790184049
79022.46094,-1.561697709,-0.968256907,-2.18742496,4.47800789,-2.791411043
79026.36719,-1.565255709,-0.966790434,-2.18874719,4.479666688,-2.788957055
79030.27344,-1.564558534,-0.969458934,-2.187545163,4.479498404,-2.790184049
79034.17969,-1.561120736,-0.96796842,-2.188338501,4.480868715,-2.791411043
79038.08594,-1.557875263,-0.967679934,-2.190261744,4.480243661,-2.790184049
79041.99219,-1.555735654,-0.970372475,-2.190237704,4.480387904,-2.791411043
79045.89844,-1.557130006,-0.97061288,-2.191367609,4.479690728,-2.790184049
79049.80469,-1.562082358,-0.969458934,-2.190357906,4.48065235,-2.791411043
79053.71094,-1.559365776,-0.971622583,-2.187929812,4.481133161,-2.792638037
79057.61719,-1.55996679,-0.969771461,-2.188218298,4.481373566,-2.791411043
79061.52344,-1.560832249,-0.966237501,-2.190670434,4.482599634,-2.792638037
79065.42969,-1.564654696,-0.969795502,-2.188843352,4.482190945,-2.791411043
79069.33594,-1.564438331,-0.965540326,-2.186319095,4.484354593,-2.792638037
79073.24219,-1.564702777,-0.967175082,-2.182616852,4.484114188,-2.790184049
79077.14844,-1.564486412,-0.964434461,-2.18076573,4.483513174,-2.791411043
79081.05469,-1.561000533,-0.96707892,-2.178890567,4.481205282,-2.793865031
79084.96094,-1.563332466,-0.96664619,-2.179323297,4.484546918,-2.791411043
79088.86719,-1.566481777,-0.964891231,-2.179299257,4.48728754,-2.791411043
79092.77344,-1.566866426,-0.965852853,-2.181991798,4.483585296,-2.791411043
79096.67969,-1.562154479,-0.964290217,-2.181054216,4.479498404,-2.792638037
79100.58594,-1.563789236,-0.966405785,-2.182905338,4.479546485,-2.792638037
79104.49219,-1.563693074,-0.968208826,-2.183145744,4.480820634,-2.792638037
79108.39844,-1.563332466,-0.969122366,-2.184155446,4.474329687,-2.791411043
79112.30469,-1.563572871,-0.968088623,-2.184107365,4.474810498,-2.792638037
79116.21094,-1.561216898,-0.967631853,-2.184732419,4.479618607,-2.791411043
79120.11719,-1.56128902,-0.967367407,-2.184636257,4.479810931,-2.791411043
79124.02344,-1.561481344,-0.967800137,-2.186198893,4.477262633,-2.790184049
79127.92969,-1.561361141,-0.968329028,-2.185886365,4.481710134,-2.791411043
79131.83594,-1.564750858,-0.96664619,-2.18254473,4.480820634,-2.790184049
79135.74219,-1.560303357,-0.967992461,-2.175068121,4.480460026,-2.790184049
79139.64844,-1.560688006,-0.966958718,-2.175837419,4.478536782,-2.790184049
79143.55469,-1.564221966,-0.968881961,-2.176318229,4.481253363,-2.790184049
79147.46094,-1.563813277,-0.97282461,-2.179251176,4.481012958,-2.792638037
79151.36719,-1.566145209,-0.974098759,-2.178914608,4.481301445,-2.791411043
79155.27344,-1.566938547,-0.971526421,-2.18076573,4.478104052,-2.790184049
79159.17969,-1.567251074,-0.973305421,-2.183097663,4.478176174,-2.791411043
79163.08594,-1.56530379,-0.972055313,-2.184227568,4.47800789,-2.791411043
79166.99219,-1.567852088,-0.969699339,-2.186030609,4.478729106,-2.791411043
79170.89844,-1.567371277,-0.971526421,-2.182616852,4.478104052,-2.787730061
79174.80469,-1.565976926,-0.970733083,-2.180573405,4.475699998,-2.788957055
79178.71094,-1.567227034,-0.969098326,-2.182448568,4.470555322,-2.790184049
79182.61719,-1.565688439,-0.971814907,-2.181703311,4.474233525,-2.788957055
79186.52344,-1.560327398,-0.971117731,-2.184371811,4.476325052,-2.790184049
79190.42969,-1.558620519,-0.970059948,-2.181967757,4.475459593,-2.788957055
79194.33594,-1.559630222,-0.969699339,-2.181751392,4.477214552,-2.787730061
79198.24219,-1.56306802,-0.970372475,-2.179852189,4.476493336,-2.788957055
79202.14844,-1.563861358,-0.972896732,-2.182112,4.476469295,-2.788957055
79206.05469,-1.56794825,-0.970300353,-2.182304325,4.473319984,-2.788957055
79209.96094,-1.564967223,-0.969194488,-2.183265946,4.477214552,-2.787730061
79213.86719,-1.566577939,-0.96929065,-2.182136041,4.475507674,-2.787730061
79217.77344,-1.56972725,-0.968521353,-2.179395419,4.477815566,-2.788957055
79221.67969,-1.563043979,-0.966501947,-2.180717649,4.47846466,-2.790184049
79225.58594,-1.563813277,-0.964795069,-2.187929812,4.48065235,-2.787730061
79229.49219,-1.562899736,-0.969603177,-2.189396285,4.478416579,-2.788957055
79233.39844,-1.563572871,-0.969843583,-2.182376446,4.477719404,-2.788957055
79237.30469,-1.56482298,-0.970300353,-2.182039879,4.476709701,-2.788957055
79241.21094,-1.561361141,-0.971141772,-2.179948351,4.479450323,-2.788957055
79245.11719,-1.566097128,-0.968016501,-2.182496649,4.476637579,-2.790184049
79249.02344,-1.564606615,-0.972151475,-2.183338068,4.479666688,-2.788957055
79252.92969,-1.56220256,-0.971742786,-2.181943716,4.483633377,-2.788957055
